== PARAMETER ==
movement:Lacet
angle:70.0
speed:25
nb_return:5
wait_time:30
== COMMENTS ==
SALUT dOUBLE GUI
JU-JU-JUL
== VALUES ==
yaw pitch roll
-43.14072 -0.5783386 0.8650255
-43.13614 -0.5912781 0.8202565
-43.13977 -0.6073608 0.8116829
-43.16904 -0.6066895 0.8425357
-43.18268 -0.5924683 0.8398694
-43.16602 -0.5825806 0.815784
-43.10107 -0.5735474 0.7937382
-42.87213 -0.5133057 0.7391753
-42.47372 -0.5404358 0.6815138
-42.0546 -0.5479126 0.628716
-41.57437 -0.5464172 0.5608296
-40.98724 -0.5320129 0.4856564
-40.30121 -0.5020142 0.4755056
-39.60236 -0.4805908 0.4684884
-38.82938 -0.4580994 0.4339227
-38.13998 -0.451355 0.3999237
-37.6178 -0.4789734 0.3568902
-37.13388 -0.4940491 0.2667055
-36.64679 -0.4794006 0.1536226
-36.12628 -0.4371643 0.05928335
-35.63205 -0.3829346 0.007822696
-35.14328 -0.3258362 -0.05657959
-34.58646 -0.3425293 -0.138092
-33.95004 -0.2653503 -0.2488708
-33.2807 -0.1954651 -0.3487549
-32.54736 -0.1599426 -0.4703369
-31.76328 -0.1343079 -0.5184937
-31.03894 -0.0796814 -0.5279236
-30.38245 -0.05584717 -0.5920715
-29.74881 -0.04293823 -0.7119446
-29.07547 0.007044033 -0.7693176
-28.42719 0.06664473 -0.7360229
-27.86359 0.09753862 -0.686554
-27.37769 0.08640061 -0.6595764
-26.89359 0.09102634 -0.6435547
-26.37973 0.1245516 -0.6178894
-25.96716 0.1373426 -0.5325317
-25.59296 0.147953 -0.4523315
-25.16953 0.1286573 -0.3799133
-24.74567 0.09440369 -0.3118591
-24.37198 0.1204768 -0.2049561
-24.03375 0.1055723 -0.09564209
-23.68497 0.1002286 -0.02645874
-23.34717 0.08464003 -0.001242585
-23.07031 0.0722551 0.07119036
-22.83746 0.05966068 0.1344166
-22.57217 0.0399715 0.182954
-22.30795 0.03625431 0.2236067
-22.08444 0.01500552 0.3109632
-21.87494 -0.04000854 0.3966743
-21.62329 -0.01480103 0.4648562
-21.37793 -0.02999878 0.5362923
-21.15167 -0.005981445 0.6013495
-20.92035 -0.00469206 0.6675066
-20.73959 -0.0002700726 0.7520295
-20.57089 0.0601447 0.8030571
-20.38266 0.09865562 0.7476807
-20.1131 0.1188433 0.6919128
-19.87317 0.1462438 0.7238271
-19.61652 0.1691438 0.7605338
-19.30627 0.1469799 0.764262
-18.97348 0.1362305 0.7596785
-18.64978 0.09938724 0.763002
-18.29288 0.05387835 0.752135
-17.9046 0.1074564 0.7431633
-17.49469 0.07896692 0.6993226
-17.08887 0.1039256 0.6580328
-16.71381 0.1014318 0.6495523
-16.29251 0.09065169 0.6453596
-15.86917 0.06485534 0.6475487
-15.45947 0.07496433 0.6242391
-14.9906 0.03952236 0.6029235
-14.45349 0.01686622 0.5662007
-13.90778 0.0183417 0.5304451
-13.34607 0.02785178 0.5041494
-12.76791 -0.04244995 0.4987685
-12.1698 -0.05123901 0.5036285
-11.72745 -0.007995605 0.5231043
-11.36209 0.01135775 0.4750002
-11.03085 0.06749202 0.419252
-10.78174 0.1964851 0.3437726
-10.64148 0.2880658 0.2859268
-10.57217 0.2771386 0.2711127
-10.3736 0.3294999 0.2772825
-10.10712 0.4103419 0.2049319
-9.849609 0.4639507 0.1480428
-9.561615 0.4965592 0.1421602
-9.278778 0.5518925 0.1764571
-8.89267 0.5544672 0.2174721
-8.458435 0.5085134 0.2594573
-8.054962 0.523136 0.308593
-7.652588 0.5157527 0.3636909
-7.172821 0.5181037 0.4390855
-6.699188 0.5218685 0.4997325
-6.260803 0.484458 0.5144767
-5.771667 0.4235912 0.5788289
-5.317841 0.3545629 0.6723683
-4.914642 0.369838 0.769674
-4.559906 0.3629408 0.8347669
-4.195221 0.3683963 0.8364393
-3.810059 0.3103381 0.841783
-3.424591 0.3032669 0.8493351
-3.043671 0.2788939 0.8634188
-2.621521 0.2363268 0.9114854
-2.197357 0.2151514 0.9532117
-1.797607 0.243229 0.9564199
-1.396484 0.2796961 0.9665968
-0.9718628 0.3246269 0.9413336
-0.5727234 0.3472203 0.9196935
-0.1701355 0.3962403 0.9137834
0.2063405 0.3266569 0.9355894
0.5545496 0.3491728 0.9639778
0.9375514 0.3535309 0.947145
1.326449 0.3647249 0.8712737
1.714262 0.3020697 0.9012284
2.102698 0.3191471 0.9599909
2.46929 0.2876769 1.001588
2.841475 0.2070345 1.019589
3.213438 0.1202335 1.047039
3.60446 0.09126815 1.105009
3.946208 0.0435016 1.157903
4.328175 -0.008605957 1.185023
4.707335 -0.07000732 1.209502
5.090042 -0.1292725 1.251608
5.452784 -0.278717 1.330873
5.899003 -0.3225708 1.429457
6.329964 -0.364502 1.520941
6.773328 -0.442749 1.574749
7.294217 -0.5073547 1.642445
7.834374 -0.5267639 1.677386
8.396108 -0.5514221 1.714723
8.948093 -0.6159363 1.7727
9.509466 -0.656189 1.8073
10.05877 -0.6761475 1.860357
10.57248 -0.679718 1.90878
11.03542 -0.6648865 1.952781
11.48773 -0.6929321 2.010247
11.90603 -0.7051086 2.036348
12.31075 -0.7454529 2.071631
12.66803 -0.7646484 2.128265
12.97305 -0.7628174 2.1598
13.31684 -0.745575 2.109656
13.59422 -0.7276001 2.082175
13.87702 -0.7093201 2.108811
14.19561 -0.7458496 2.138669
14.68033 -0.8114014 2.134728
15.30445 -0.880188 2.180194
16.16413 -0.9279175 2.231655
17.15782 -1.001587 2.342483
18.22169 -1.100555 2.470498
19.29566 -1.189667 2.485432
20.25929 -1.284485 2.504474
21.05442 -1.381653 2.52726
21.66585 -1.493439 2.545278
22.18771 -1.590118 2.546201
22.62995 -1.695801 2.522348
22.99885 -1.733215 2.483696
23.34712 -1.812256 2.431566
23.69519 -1.852936 2.436805
24.03028 -1.887451 2.456932
24.37264 -1.839905 2.497571
24.62652 -1.835419 2.526503
24.83001 -1.78714 2.557083
25.02108 -1.778351 2.573559
25.17155 -1.715332 2.571729
25.3197 -1.625549 2.592177
25.45525 -1.585968 2.588731
25.5872 -1.568085 2.618804
25.72353 -1.48764 2.645654
25.85721 -1.419342 2.626768
26.14573 -1.326691 2.598144
26.40302 -1.304321 2.657766
26.68717 -1.30246 2.759178
27.14036 -1.324768 2.792065
27.67291 -1.371094 2.807964
28.33181 -1.47052 2.803352
29.18478 -1.591644 2.744523
30.07913 -1.659912 2.726462
31.01936 -1.674957 2.679199
31.94078 -1.686066 2.617847
32.67325 -1.685364 2.619262
33.26768 -1.684692 2.592752
33.6661 -1.656677 2.581599
33.92558 -1.610352 2.52518
34.13343 -1.531097 2.418669
34.21719 -1.412354 2.372379
34.19546 -1.303528 2.319561
34.25505 -1.220276 2.215165
34.31759 -1.103668 2.108327
34.32311 -0.9295044 2.019535
34.32896 -0.8109436 1.994687
34.30389 -0.6866455 1.960572
34.25968 -0.5257568 1.934986
34.32425 -0.3739624 1.854031
34.50501 -0.02685547 1.678832
34.66018 0.2727189 1.408339
34.92205 0.1127 1.309481
35.31845 -0.1854858 1.118331
35.73642 -0.02011108 1.00109
36.37804 0.03171732 0.9220556
36.92056 0.1210331 0.9423037
37.40786 0.1816944 0.9363127
37.81417 0.2673298 0.9718499
38.09037 0.4377977 0.8984646
38.15797 0.6796142 0.7790433
38.26938 0.7333576 0.875827
38.57755 0.443398 0.8959832
39.00254 0.213106 0.8052181
39.59568 0.06552223 0.8290896
40.24113 -0.06594849 0.960605
40.91709 -0.1083069 1.050105
41.54536 -0.0826416 1.083731
42.07632 -0.04190063 1.079075
42.59132 0.05371798 1.044368
43.07822 0.1770776 1.043789
43.45834 0.2186944 1.074328
43.79599 0.228593 1.175323
44.06587 0.2672345 1.301162
44.18341 0.3560404 1.389419
44.12567 0.3661044 1.381541
44.11201 0.3795408 1.374909
44.05444 0.4580882 1.389359
43.93169 0.5186619 1.365207
43.82231 0.4823841 1.349955
43.6982 0.3750075 1.382666
43.64277 0.3325177 1.419865
43.69851 0.2578191 1.386453
43.86617 0.1693573 1.398648
44.10363 0.007816832 1.440008
44.43371 -0.09176636 1.449757
44.66973 -0.2108765 1.464018
44.84665 -0.3038635 1.489027
44.9042 -0.3797302 1.502432
44.89965 -0.4268188 1.518337
44.88255 -0.4734192 1.528064
44.82095 -0.5279236 1.501223
44.72333 -0.5673828 1.474499
44.5717 -0.638031 1.486602
44.40425 -0.6964111 1.497317
44.2758 -0.6853027 1.479018
44.1572 -0.7106323 1.4752
44.05395 -0.7218323 1.479953
44.01727 -0.7568359 1.474851
43.99376 -0.8027039 1.502806
43.95647 -0.8483276 1.570411
43.9074 -0.848175 1.621049
